Sepal length, Sepal width, Petal length, Class
0,2,0,Iris-setosa
0,1,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,0,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,1,0,Iris-setosa
0,1,0,Iris-setosa
1,2,0,Iris-setosa
1,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
1,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,1,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,1,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,0,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,1,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
0,2,0,Iris-setosa
2,2,1,Iris-versicolor
2,2,1,Iris-versicolor
2,2,2,Iris-versicolor
0,0,1,Iris-versicolor
2,0,1,Iris-versicolor
1,0,1,Iris-versicolor
2,2,1,Iris-versicolor
0,0,1,Iris-versicolor
2,0,1,Iris-versicolor
0,0,1,Iris-versicolor
0,0,1,Iris-versicolor
1,1,1,Iris-versicolor
1,0,1,Iris-versicolor
1,0,1,Iris-versicolor
1,0,1,Iris-versicolor
2,2,1,Iris-versicolor
1,1,1,Iris-versicolor
1,0,1,Iris-versicolor
1,0,1,Iris-versicolor
1,0,1,Iris-versicolor
1,2,2,Iris-versicolor
1,0,1,Iris-versicolor
2,0,2,Iris-versicolor
1,0,1,Iris-versicolor
2,0,1,Iris-versicolor
2,1,1,Iris-versicolor
2,0,2,Iris-versicolor
2,1,2,Iris-versicolor
1,0,1,Iris-versicolor
1,0,1,Iris-versicolor
0,0,1,Iris-versicolor
0,0,1,Iris-versicolor
1,0,1,Iris-versicolor
1,0,2,Iris-versicolor
0,1,1,Iris-versicolor
1,2,1,Iris-versicolor
2,2,1,Iris-versicolor
2,0,1,Iris-versicolor
1,1,1,Iris-versicolor
0,0,1,Iris-versicolor
0,0,1,Iris-versicolor
1,1,1,Iris-versicolor
1,0,1,Iris-versicolor
0,0,1,Iris-versicolor
1,0,1,Iris-versicolor
1,1,1,Iris-versicolor
1,0,1,Iris-versicolor
1,0,1,Iris-versicolor
0,0,1,Iris-versicolor
1,0,1,Iris-versicolor
2,2,2,Iris-virginica
1,0,2,Iris-virginica
2,1,2,Iris-virginica
2,0,2,Iris-virginica
2,1,2,Iris-virginica
2,1,2,Iris-virginica
0,0,1,Iris-virginica
2,0,2,Iris-virginica
2,0,2,Iris-virginica
2,2,2,Iris-virginica
2,2,2,Iris-virginica
2,0,2,Iris-virginica
2,1,2,Iris-virginica
1,0,2,Iris-virginica
1,0,2,Iris-virginica
2,2,2,Iris-virginica
2,1,2,Iris-virginica
2,2,2,Iris-virginica
2,0,2,Iris-virginica
1,0,2,Iris-virginica
2,2,2,Iris-virginica
1,0,2,Iris-virginica
2,0,2,Iris-virginica
2,0,2,Iris-virginica
2,2,2,Iris-virginica
2,2,2,Iris-virginica
1,0,2,Iris-virginica
1,1,2,Iris-virginica
2,0,2,Iris-virginica
2,1,2,Iris-virginica
2,0,2,Iris-virginica
2,2,2,Iris-virginica
2,0,2,Iris-virginica
2,0,2,Iris-virginica
1,0,2,Iris-virginica
2,1,2,Iris-virginica
2,2,2,Iris-virginica
2,2,2,Iris-virginica
1,1,2,Iris-virginica
2,2,2,Iris-virginica
2,2,2,Iris-virginica
2,2,2,Iris-virginica
1,0,2,Iris-virginica
2,2,2,Iris-virginica
2,2,2,Iris-virginica
2,1,2,Iris-virginica
2,0,2,Iris-virginica
2,1,2,Iris-virginica
1,2,2,Iris-virginica
1,1,2,Iris-virginica
